objectid,comuna,barrio,codigo_barrio,manzana,estrato,fecha_sincronizacion,st_area(shape),st_perimeter(shape)
23803,16,01,1601,1601011,3,1778724905000,3070.2748287986014,223.01049356509884
23804,16,01,1601,1601012,3,1778724905000,3071.721786733688,223.99051875610348
23805,16,01,1601,1601013,3,1778724905000,274.9878714166204,68.99843118039374
23806,16,01,1601,1601013,3,1778724905000,195.98742236937863,64.99860818032639
23807,16,01,1601,1601013,3,1778724905000,781.7386454782015,112.87811251750044
23808,16,01,1601,1601013,3,1778724905000,588.9442297675254,97.07875609974045
23809,16,01,1601,1601013,3,1778724905000,309.04584039150984,87.29571505524267
23810,16,01,1601,1601013,4,1778724905000,5100.583807354517,592.7789515138484
23811,16,01,1601,1601014,5,1778724905000,4708.760056130992,315.55832508581807
23812,16,01,1601,1601015,4,1778724905000,560.7307006082759,96.06480121680293
23813,16,01,1601,1601015,4,1778724905000,1049.4285249820414,158.25928031525527
23814,16,01,1601,1601015,5,1778724905000,2923.3623977948278,362.0805255903446
23815,16,01,1601,1601016,4,1778724905000,15842.489622488742,528.4743409660889
23816,16,01,1601,1601016,4,1778724905000,837.333721626571,118.87204389134104
23817,16,01,1601,1601017,3,1778724905000,3068.8934001720822,222.24189735028784
23818,16,03,1603,1603022,4,1778724905000,5153.029177004531,437.96926828511533
23819,16,03,1603,1603023,4,1778724905000,3107.0026712604354,258.19196119197204
23820,16,03,1603,1603024,3,1778724905000,112.98647478909439,57.38563866508919
23821,16,03,1603,1603024,3,1778724905000,475.70891248141385,92.13700350907766
23822,16,03,1603,1603024,3,1778724905000,105.52073096468085,66.64818331259528
23823,16,03,1603,1603024,3,1778724905000,246.23270511624614,80.86245725994284
23824,16,03,1603,1603024,3,1778724905000,198.18868488422873,86.60994457619772
23825,16,03,1603,1603024,3,1778724905000,636.7972875427478,146.94524887657406
23826,16,03,1603,1603024,4,1778724905000,49.791008561484176,29.727688988443973
23827,16,03,1603,1603024,4,1778724905000,23634.231509863974,1244.7034809964782
23828,16,03,1603,1603025,3,1778724905000,1145.4931507016763,218.85507093795763
23829,16,03,1603,1603025,4,1778724905000,135.9479705331111,54.10279790855382
23830,16,03,1603,1603025,4,1778724905000,5778.1974698986705,320.16275353503136
23831,16,03,1603,1603027,4,1778724905000,4938.954625506253,280.93119699570525
23832,16,05,1605,1605040,3,1778724905000,4221.005560154723,361.5400634836482
23833,16,05,1605,1605040,4,1778724905000,165.9816017848284,55.103553743908165
23834,16,05,1605,1605041,3,1778724905000,3541.1560829804075,283.2384905725338
23835,15,11,1511,1511013,1,1778724905000,66.9585957897478,33.255321427260945
23836,15,11,1511,1511013,2,1778724905000,1513.424529371614,296.5014316548589
23837,15,11,1511,1511014,2,1778724905000,1830.9775675116182,288.3361726086986
23838,15,11,1511,1511015,2,1778724905000,2328.5380890959113,472.8867621128413
23839,15,11,1511,1511016,2,1778724905000,2680.298783583564,262.5293575582224
23840,15,11,1511,1511017,2,1778724905000,4092.6395825898635,394.84605175338464
23841,15,11,1511,1511017,2,1778724905000,147.83324814900428,52.95531448975295
23842,15,11,1511,1511017,2,1778724905000,599.776193390795,99.3189850779004
23843,15,11,1511,1511017,3,1778724905000,50.08004403213783,30.216835595543596
23844,15,11,1511,1511018,2,1778724905000,641.5238714722351,142.54702985482754
23845,15,11,1511,1511019,1,1778724905000,52.720607163842054,29.61753159138396
23846,15,11,1511,1511019,2,1778724905000,435.29217664209057,108.01763267450842
23847,16,01,1601,1601018,3,1778724905000,3070.6745984068684,223.0714877957493
23848,16,01,1601,1601019,3,1778724905000,3651.2162561138507,279.3847162330927
23849,16,01,1601,1601019,4,1778724905000,80.94641246034324,44.39830129238965
23850,16,01,1601,1601020,3,1778724905000,3375.664885329093,230.82104003009943
23851,16,01,1601,1601021,3,1778724905000,2981.119073952125,217.55898322429937
23852,16,01,1601,1601022,3,1778724905000,2573.95508981613,311.59013070503255
23853,16,01,1601,1601022,4,1778724905000,191.9801767553385,63.997317119457236
23854,16,01,1601,1601022,4,1778724905000,191.98453465668624,63.997213425086365
23855,16,01,1601,1601023,4,1778724905000,7943.286760712469,421.59056535629486
23856,16,01,1601,1601024,3,1778724905000,149.04231457072893,51.39992058517865
23857,16,01,1601,1601024,4,1778724905000,1974.9890353901094,189.90082264528124
23858,16,01,1601,1601024,5,1778724905000,257.80767756200095,81.69439214607623
23859,16,03,1603,1603028,4,1778724905000,8605.265469492639,504.4003654515228
23860,16,03,1603,1603029,5,1778724905000,4956.3253591296925,295.8352768990716
23861,16,03,1603,1603030,4,1778724905000,224.984320068867,67.99789822898681
23862,16,03,1603,1603030,4,1778724905000,224.98490776526722,67.99769830641067
23863,16,03,1603,1603030,5,1778724905000,8470.951572083852,567.1337128200313
23864,16,03,1603,1603031,4,1778724905000,5336.624155881771,324.79990759381127
23865,16,03,1603,1603032,3,1778724905000,2014.222646162201,208.66983733597246
23866,16,03,1603,1603033,3,1778724905000,6721.696136365914,326.90389636487885
23867,16,03,1603,1603034,3,1778724905000,469.71320910939914,98.80002016025072
23868,16,03,1603,1603034,3,1778724905000,809.8466255681031,134.69150466836442
23869,16,03,1603,1603034,3,1778724905000,108.14750653733607,45.59460245320106
23870,16,03,1603,1603034,4,1778724905000,4315.783786863906,327.5856012642517
23871,16,03,1603,1603034,4,1778724905000,344.6253371820122,80.82872810510976
23872,16,03,1603,1603035,3,1778724905000,194.13627549329593,59.87355539023785
23873,16,03,1603,1603036,4,1778724905000,3083.9959438098194,230.121067563166
